Design_Point,radius_1,x_1,y_1,radius_2,x_2,y_2,radius_3,x_3,y_3,Point_Turbine_Velocity,Plane_Turbine_Velocity,Ideal_Turbine_Thrust,Ideal_Turbine_Power,Ringed_Duct_Thrust
44,0.014,0.305,0.607,0.012,0.2,0.61,0.014,0.347,0.612,1.09555,1.07148,802.575,859.946,88.4958
45,0.0245,0.278,0.649,0.0235,0.227,0.62,0.014,0.299,0.608,1.2587,1.30081,802.709,1044.17,289.085
46,0.012,0.185,0.619,0.0175,0.284,0.668,0.021,0.244,0.649,1.09493,1.07712,802.544,864.433,98.8997
47,0.0185,0.2,0.656,0.014,0.345,0.627,0.0185,0.267,0.664,1.10529,1.08963,802.555,874.491,123.794
48,0.0135,0.381,0.643,0.0105,0.257,0.678,0.0115,0.174,0.673,1.09217,1.05416,802.557,846.025,95.2069
49,0.0235,0.224,0.624,0.0195,0.316,0.632,0.0235,0.369,0.633,1.15013,1.14285,802.585,917.235,171.791
50,0.015,0.211,0.667,0.011,0.337,0.609,0.0125,0.264,0.61,1.114,1.09172,802.571,876.184,116.627
51,0.019,0.321,0.645,0.02,0.178,0.658,0.019,0.349,0.611,1.0867,1.05997,802.498,850.624,118.757
52,0.017,0.373,0.618,0.02,0.332,0.659,0.014,0.275,0.639,1.10798,1.0917,802.576,876.17,113.074
53,0.02,0.216,0.65,0.0135,0.273,0.613,0.021,0.33,0.667,1.17625,1.18674,802.619,952.503,210.825
54,0.014,0.184,0.61,0.014,0.179,0.661,0.0105,0.363,0.675,1.05957,1.01935,802.467,817.992,85.6637
55,0.02041,0.26104,0.65055,0.01977,0.29361,0.62374,0.0234,0.17755,0.66388,1.35114,1.41743,802.761,1137.86,421.177
56,0.02039,0.2744,0.64541,0.01981,0.31398,0.63079,0.02284,0.18871,0.66415,1.28265,1.32772,802.764,1065.84,319.427
57,0.02066,0.3018,0.64897,0.01967,0.26635,0.62584,0.02332,0.18037,0.66668,1.17947,1.18323,802.593,949.648,190.045
58,0.01994,0.23409,0.64486,0.01926,0.32454,0.62624,0.02366,0.18079,0.66457,1.12386,1.11179,802.549,892.266,144.044
59,0.02079,0.27541,0.65422,0.02089,0.30953,0.62696,0.02232,0.19012,0.65848,1.16678,1.16703,802.557,936.61,199.922
60,0.02058,0.27833,0.64553,0.01838,0.31491,0.62712,0.02322,0.17694,0.66678,1.21797,1.23703,802.657,992.91,249.734
61,0.02045,0.25911,0.64384,0.02056,0.30082,0.63335,0.02332,0.18394,0.66668,1.24859,1.27386,802.716,1022.55,255.333
62,0.01943,0.26145,0.64359,0.02048,0.30143,0.63101,0.02294,0.19493,0.66706,1.26536,1.30513,802.732,1047.67,291.526
63,0.02063,0.26199,0.6432,0.02038,0.30337,0.63148,0.024,0.20445,0.666,1.28256,1.32751,802.747,1065.65,309.336
64,0.01998,0.26951,0.64139,0.02098,0.31165,0.63306,0.02428,0.18893,0.66572,1.1596,1.16308,802.597,933.483,171.277
65,0.0209,0.25372,0.64366,0.01989,0.29554,0.63458,0.02245,0.204,0.66755,1.26427,1.29636,802.721,1040.61,300.09
66,0.02037,0.24661,0.64601,0.02127,0.28689,0.62923,0.02418,0.19573,0.66582,1.3375,1.4046,802.754,1127.55,402.027
67,0.01974,0.26024,0.6489,0.01954,0.2995,0.63614,0.02439,0.19772,0.66561,1.22877,1.24607,802.678,1000.19,249.602
68,0.02112,0.26142,0.63917,0.02087,0.30312,0.62515,0.0227,0.19368,0.6673,1.18197,1.19192,802.599,956.631,213.134
69,0.02009,0.25724,0.64225,0.02003,0.29847,0.63356,0.02346,0.19008,0.65849,1.30093,1.34634,802.778,1080.81,326.118
70,0.01967,0.24272,0.64645,0.01985,0.27986,0.62788,0.02373,0.19312,0.6517,1.32183,1.37875,802.749,1106.79,368.482
71,0.01931,0.26342,0.64104,0.01925,0.3024,0.62982,0.02378,0.2207,0.65548,1.36421,1.43917,802.806,1155.38,429.341
72,0.02189,0.25245,0.6424,0.01947,0.29483,0.63326,0.025,0.20445,0.65176,1.28095,1.32053,802.716,1060.01,355.862
73,0.01815,0.25118,0.64285,0.02013,0.29039,0.63363,0.0221,0.18272,0.65597,1.1985,1.21544,802.66,975.584,205.269
74,0.01749,0.24848,0.64683,0.02014,0.28092,0.62406,0.02293,0.20561,0.65727,1.33452,1.40492,802.727,1127.77,426.978
75,0.01946,0.25551,0.64365,0.02019,0.29613,0.63442,0.02261,0.17661,0.66078,1.23914,1.26058,802.705,1011.87,242.667
76,0.01938,0.25939,0.64271,0.01799,0.29691,0.6308,0.02138,0.19737,0.65161,1.22851,1.25042,802.684,1003.69,247.465
77,0.01928,0.26066,0.64262,0.0208,0.30221,0.63598,0.02191,0.21878,0.65316,1.38945,1.47017,802.852,1080.33,459.051
78,0.019,0.25179,0.64002,0.01863,0.29006,0.62975,0.02384,0.1821,0.65943,1.2587,1.29161,802.729,1036.81,279.319
79,0.0193,0.2651,0.6441,0.0175,0.2954,0.6198,0.0249,0.2202,0.6552,1.41195,1.50715,802.743,1139.85,538.505
80,0.01952,0.23564,0.64651,0.01962,0.27315,0.62963,0.02246,0.17246,0.66017,1.19998,1.20984,802.626,971.052,222.593
81,0.01872,0.26118,0.64406,0.01941,0.29913,0.63102,0.02367,0.17367,0.65369,1.26863,1.30106,802.712,1044.38,299.337
82,0.01959,0.26253,0.63875,0.01876,0.30254,0.63354,0.0233,0.19679,0.66316,1.21047,1.22163,802.674,980.571,211.587
83,0.01873,0.24095,0.63816,0.0205,0.28164,0.63148,0.025,0.18892,0.65797,1.26746,1.30719,802.708,1049.29,301.032
84,0.01955,0.24008,0.64663,0.02202,0.27515,0.62078,0.025,0.175,0.65424,1.28285,1.33485,802.69,1071.47,329.306
85,0.01926,0.27634,0.64678,0.0208,0.24117,0.62371,0.02469,0.19471,0.65728,1.09549,1.06872,802.449,857.592,127.692
86,0.01941,0.24801,0.63816,0.02026,0.28778,0.62574,0.02287,0.17287,0.65388,1.18514,1.19677,802.619,960.549,201.668
87,0.01895,0.22745,0.65178,0.02129,0.28969,0.62903,0.025,0.175,0.65472,1.11334,1.10652,802.533,888.019,120.5
88,0.01975,0.25256,0.64165,0.01985,0.29302,0.63204,0.02432,0.1791,0.66424,1.2322,1.26124,802.685,1012.38,248.866
89,0.01862,0.2438,0.64015,0.0185,0.28266,0.63564,0.02382,0.19909,0.65348,1.20566,1.22921,802.667,986.648,224.848
90,0.02188,0.24012,0.64873,0.02143,0.27699,0.6224,0.025,0.175,0.65839,1.31269,1.37297,802.713,1102.1,358.996
91,0.021,0.23839,0.65116,0.02242,0.27966,0.61624,0.02496,0.17496,0.66504,1.30668,1.36074,802.725,1092.3,340.465
92,0.02144,0.22113,0.64941,0.02202,0.27097,0.6141,0.0239,0.1746,0.65813,1.28548,1.33453,802.699,1071.22,324.751
93,0.02234,0.23724,0.65513,0.02209,0.26761,0.62001,0.02366,0.17366,0.66634,1.31902,1.37882,802.66,1106.72,397.778
94,0.02158,0.24347,0.64933,0.02279,0.29371,0.61287,0.025,0.175,0.65571,1.28264,1.3298,802.736,1067.48,299.724
95,0.02152,0.23094,0.64493,0.02413,0.2881,0.61621,0.025,0.175,0.65968,1.282,1.32543,802.713,1063.94,297.611
96,0.02133,0.22252,0.65033,0.02301,0.30405,0.61599,0.025,0.175,0.65946,1.18763,1.1942,802.605,958.468,202.041
97,0.01819,0.24764,0.65117,0.02068,0.27864,0.61468,0.02,0.175,0.65583,1.31579,1.38136,802.776,1108.92,353.416
98,0.01946,0.25548,0.64364,0.02019,0.29613,0.63443,0.02261,0.17651,0.66079,1.25168,1.27783,802.723,1025.74,258.586
99,0.01864,0.24409,0.64023,0.01853,0.28296,0.6354,0.02384,0.19944,0.65352,1.21005,1.23499,802.668,991.288,234.187
100,0.01865,0.24425,0.64028,0.01855,0.28313,0.63526,0.02385,0.19962,0.65355,1.24894,1.28716,802.733,1033.25,266.856
